size,n_default,n_online,reward_default,reward_online
6.0,6.0,17.0,-116.51684,-149.6962286556155
6.0,7.0,6.0,-114.11661200000002,-194.68877000000003
6.0,7.0,7.0,-153.11712000000003,-156.99476100000004
6.0,4.0,6.0,-91.055,-156.19898000000003
6.0,1.0,4.0,-78.0,-115.845
6.0,8.0,14.0,-248.67709190000002,-246.11539385077103
6.0,4.0,9.0,-78.118,-216.23615791
6.0,4.0,8.0,-146.62400000000002,-203.65305080000002
6.0,7.0,7.0,-134.649511,-154.84263099999998
6.0,8.0,6.0,-209.37234790000002,-193.25035
6.0,10.0,9.0,-276.42755950900005,-189.17492011000002
6.0,7.0,6.0,-118.90843100000001,-139.65335000000002
6.0,10.0,8.0,-247.68672306900004,-188.19720150000003
6.0,8.0,6.0,-193.14005139999998,-149.28895
6.0,12.0,5.0,-149.27055148119004,-147.17819999999998
6.0,7.0,3.0,-139.18803100000002,-63.43000000000001
6.0,3.0,9.0,-70.13,-118.04837042000003
6.0,8.0,9.0,-210.19411340000002,-237.16139921
6.0,7.0,5.0,-179.12566700000002,-132.425
6.0,5.0,3.0,-80.56100000000002,-66.71000000000001
6.0,10.0,7.0,-272.68741958,-150.21557600000003
6.0,12.0,13.0,-167.34465764878004,-233.69450405844103
