size,n_default,n_online,reward_default,reward_online
8.0,16.0,9.0,-294.4028265352374,-186.75280442000002
8.0,7.0,10.0,-129.40189500000002,-227.54656627500006
8.0,14.0,16.0,-249.22519060987227,-327.13162422288576
8.0,9.0,8.0,-286.4981374,-253.913569
8.0,12.0,7.0,-118.48311970484998,-88.87789500000001
8.0,15.0,7.0,-467.8557927035855,-303.12045500000005
8.0,2.0,1.0,-72.9,-63.0
8.0,6.0,10.0,-213.85182999999998,-321.98018359900016
8.0,11.0,13.0,-224.39669115950005,-384.09291581804007
8.0,8.0,5.0,-150.5595074,-142.1915
8.0,9.0,13.0,-320.9521443200001,-464.3415474933861
8.0,9.0,11.0,-375.38985718000004,-333.08807869000003
8.0,9.0,7.0,-250.69238441000002,-230.839199
8.0,15.0,8.0,-484.1323926079649,-235.92851770000004
8.0,8.0,7.0,-141.1646189,-203.60087600000003
8.0,3.0,9.0,-97.12,-206.46659440000008
8.0,11.0,14.0,-371.1779459312,-303.886468938461
8.0,8.0,8.0,-156.9351048,-165.28614
8.0,14.0,15.0,-329.65060475020897,-246.07518447210052
8.0,4.0,14.0,-88.699,-284.41945432104797
8.0,2.0,1.0,-94.5,-81.0
8.0,9.0,8.0,-261.58450292,-276.15443750000003
8.0,12.0,6.0,-156.95907147469003,-69.54049
