size,n_default,n_online,reward_default,reward_online
8.0,10.0,5.0,-196.77703849,-123.58509999999998
8.0,11.0,7.0,-211.1637504791,-229.04149700000002
8.0,18.0,11.0,-360.73824292437223,-469.3659082932001
8.0,11.0,8.0,-142.70705560950003,-203.94399390000004
8.0,18.0,10.0,-247.73671630239275,-254.158176974
8.0,11.0,10.0,-234.23444798070005,-153.73619504400003
8.0,17.0,9.0,-363.4532015764641,-181.2491229
8.0,6.0,2.0,-115.15514999999999,-71.7
8.0,16.0,20.0,-442.14866311930234,-335.06891830583106
8.0,5.0,11.0,-136.5855,-222.346811139
8.0,3.0,1.0,-83.0,-74.0
8.0,23.0,6.0,-417.09536080753657,-187.21478
8.0,13.0,15.0,-352.34411199964,-364.61966482611297
8.0,5.0,12.0,-198.8488,-438.17834802844004
8.0,16.0,12.0,-314.3782100792864,-256.1583009807501
8.0,3.0,4.0,-25.57,-40.15
8.0,12.0,13.0,-389.32440646989,-390.89395430466607
8.0,9.0,31.0,-280.31420355,-211.25792686462592
