size,n_default,n_online,reward_default,reward_online
4.0,5.0,7.0,-104.06450000000002,-114.00768200000002
4.0,1.0,1.0,-59.0,-59.0
4.0,5.0,3.0,-62.9241,-60.0
4.0,6.0,5.0,-114.85897000000001,-73.9141
4.0,5.0,2.0,-74.3813,-59.3
4.0,5.0,4.0,-87.3152,-78.71300000000001
4.0,4.0,4.0,-64.068,-68.44200000000001
4.0,2.0,3.0,-57.9,-61.95
4.0,3.0,4.0,-57.6,-58.778999999999996
4.0,4.0,5.0,-67.573,-73.17909999999999
4.0,3.0,5.0,-53.81,-60.65
4.0,2.0,5.0,-62.5,-82.6015
4.0,5.0,3.0,-81.5972,-49.91
4.0,7.0,1.0,-84.596881,-49.0
4.0,4.0,8.0,-77.85000000000001,-79.6243779
4.0,6.0,3.0,-59.36458,-46.21
4.0,3.0,7.0,-54.81,-86.68295100000002
4.0,2.0,2.0,-57.3,-58.2
4.0,2.0,5.0,-40.4,-62.4923
4.0,2.0,2.0,-57.0,-57.9
4.0,6.0,3.0,-87.47064999999999,-60.4
4.0,6.0,8.0,-93.43854999999999,-106.1207938
4.0,2.0,2.0,-51.4,-51.4
4.0,5.0,5.0,-88.17330000000001,-78.8412
