size,n_default,n_online,reward_default,reward_online
6.0,12.0,7.0,-221.20892958578006,-136.954895
6.0,8.0,11.0,-232.7208927,-204.68146749900006
6.0,7.0,8.0,-95.002695,-155.0585124
6.0,8.0,5.0,-157.0432589,-178.70750000000004
6.0,3.0,3.0,-53.31,-40.71
6.0,5.0,7.0,-143.50509999999997,-193.17702700000004
6.0,3.0,5.0,-62.31,-126.6537
6.0,11.0,7.0,-187.51932485,-174.736241
6.0,5.0,7.0,-142.79749999999999,-136.26026
6.0,7.0,7.0,-132.513555,-144.86736
6.0,4.0,5.0,-95.234,-105.39950000000002
6.0,5.0,4.0,-152.5756,-117.949
6.0,12.0,14.0,-212.56468945327003,-203.89419989530387
6.0,11.0,17.0,-261.3753575090001,-295.71072800563314
6.0,8.0,6.0,-248.80283590000005,-187.13488
6.0,5.0,7.0,-120.7973,-200.79024500000003
6.0,6.0,6.0,-120.24715,-144.25311999999997
6.0,6.0,14.0,-148.67649,-238.38043986071193
6.0,10.0,6.0,-192.59383334000006,-150.95066
6.0,7.0,7.0,-217.217621,-182.40288500000003
6.0,10.0,10.0,-281.31988377900007,-242.645722428
6.0,2.0,4.0,-34.9,-48.373000000000005
6.0,9.0,5.0,-208.35655208000003,-138.4631
6.0,11.0,10.0,-236.4711507861,-264.06227949900006
