size,n_default,n_online,reward_default,reward_online
8.0,8.0,5.0,-241.8247609,-145.8691
8.0,11.0,13.0,-396.4877485950001,-358.4190505084052
8.0,8.0,4.0,-169.18865900000003,-103.328
8.0,7.0,6.0,-154.313891,-150.911
8.0,11.0,4.0,-111.43111592410004,-63.439
8.0,12.0,11.0,-408.36020843115006,-409.2165984645
8.0,14.0,11.0,-230.52873654762155,-171.4734943491
8.0,8.0,5.0,-256.46903290000006,-198.39610000000002
8.0,2.0,5.0,-71.3,-89.8301
8.0,5.0,6.0,-177.49800000000002,-205.49682000000004
8.0,7.0,6.0,-180.733685,-153.87403999999998
8.0,14.0,10.0,-478.8557481289501,-315.19784460600005
8.0,4.0,6.0,-97.12700000000001,-142.05752
8.0,10.0,8.0,-215.551120104,-216.79201530000003
8.0,6.0,5.0,-224.84561000000002,-153.90949999999998
8.0,15.0,7.0,-388.88893092877225,-222.09784000000005
8.0,19.0,10.0,-331.28564566633173,-238.554260489
8.0,4.0,4.0,-123.48299999999999,-102.909
8.0,5.0,5.0,-109.8905,-153.35060000000001
8.0,16.0,9.0,-342.73163355448366,-343.1227405000001
8.0,10.0,5.0,-336.349931539,-122.07009999999998
8.0,7.0,3.0,-182.936941,-67.21000000000001
8.0,10.0,13.0,-191.445635044,-186.17067547483606
8.0,15.0,4.0,-276.1290641057076,-138.87900000000002
8.0,12.0,5.0,-148.83962985445004,-80.00050000000002
