size,n_default,n_online,reward_default,reward_online
6.0,9.0,8.0,-198.91044031,-227.0430625
6.0,5.0,4.0,-112.0972,-112.099
6.0,12.0,5.0,-273.38069523600007,-134.6481
6.0,9.0,8.0,-262.53486640000006,-273.26340730000004
6.0,1.0,1.0,-35.0,-35.0
6.0,11.0,9.0,-261.11202672,-197.20538301000002
6.0,3.0,3.0,-53.61,-66.93
6.0,6.0,7.0,-157.49989000000002,-197.267605
6.0,5.0,11.0,-121.48899999999999,-209.15684259550005
6.0,9.0,4.0,-128.75170761,-92.439
6.0,7.0,5.0,-214.67343500000004,-148.3775
6.0,3.0,4.0,-44.61,-52.998
6.0,5.0,5.0,-76.39009999999999,-82.5551
6.0,6.0,3.0,-137.64445,-77.64999999999999
6.0,9.0,8.0,-234.59776201000003,-194.1250339
6.0,7.0,3.0,-118.36504000000001,-88.93
6.0,5.0,4.0,-115.70000000000002,-87.45800000000001
6.0,8.0,10.0,-163.90282050000002,-222.47629029900003
6.0,9.0,5.0,-221.10568925000004,-148.3268
6.0,11.0,10.0,-287.65519331900003,-225.107121749
6.0,10.0,5.0,-181.696458149,-105.18020000000003
6.0,12.0,5.0,-179.68028578435002,-44.9551
6.0,7.0,7.0,-162.90977,-124.733795
6.0,6.0,8.0,-126.02095,-139.9576993
