size,n_default,n_online,reward_default,reward_online
8.0,10.0,9.0,-299.9409562000001,-303.17628961
8.0,11.0,22.0,-310.16679279950006,-350.9085141291128
8.0,15.0,12.0,-309.7268176219265,-245.86044441455005
8.0,7.0,7.0,-108.22513100000002,-107.18662100000002
8.0,16.0,13.0,-305.1300704399632,-207.95074684309
8.0,12.0,14.0,-327.4723058651401,-203.6341098669019
8.0,11.0,16.0,-182.41064402000003,-337.1017029230076
8.0,5.0,3.0,-159.156,-105.12
8.0,16.0,10.0,-376.8705302191523,-258.89868846
8.0,6.0,6.0,-153.02532,-203.24379000000002
8.0,8.0,7.0,-165.2171155,-233.75288500000002
8.0,12.0,9.0,-388.55468849383016,-375.00474565
8.0,10.0,9.0,-155.72135119900003,-196.67244847000006
8.0,12.0,12.0,-423.10266432500003,-374.81196012734
8.0,9.0,11.0,-200.40313730000005,-370.06580908399997
8.0,12.0,12.0,-401.2939770611,-401.4338226291501
8.0,7.0,12.0,-243.19347,-374.06189097528
8.0,11.0,8.0,-441.1820517530001,-373.92316340000013
8.0,8.0,13.0,-102.6288774,-159.07837447849505
8.0,7.0,8.0,-113.45858600000001,-190.38483680000002
8.0,12.0,10.0,-288.60407048227995,-267.195099119
8.0,7.0,5.0,-180.47563100000002,-171.51020000000003
8.0,10.0,16.0,-225.67887447200002,-336.3197990810041
