size,n_default,n_online,reward_default,reward_online
6.0,4.0,5.0,-42.608999999999995,-66.2025
6.0,5.0,15.0,-181.06040000000002,-261.5301076705969
6.0,4.0,1.0,-71.639,-53.0
6.0,18.0,5.0,-181.2579708349069,-137.0823
6.0,14.0,7.0,-242.97694280679153,-193.13112600000002
6.0,5.0,4.0,-66.3417,-60.705000000000005
6.0,5.0,4.0,-145.8045,-149.41799999999998
6.0,7.0,2.0,-128.6827,-61.9
6.0,6.0,6.0,-155.39395000000002,-219.75457
6.0,5.0,12.0,-148.6241,-275.73877865528004
6.0,11.0,6.0,-238.44730961020002,-170.65705
6.0,4.0,3.0,-81.765,-103.23
6.0,5.0,4.0,-119.4032,-122.12299999999999
6.0,11.0,13.0,-189.75079276910003,-177.06011836560205
6.0,6.0,6.0,-107.68758000000001,-111.01388999999999
6.0,7.0,7.0,-160.05426100000003,-108.907621
6.0,5.0,5.0,-108.9954,-79.9002
6.0,5.0,5.0,-107.88159999999999,-106.4641
6.0,15.0,7.0,-134.86197850678062,-131.757821
6.0,5.0,3.0,-117.46159999999999,-72.71000000000001
6.0,9.0,13.0,-245.17617741000007,-220.8434766672601
6.0,11.0,8.0,-179.6871383461,-186.79674430000003
6.0,7.0,16.0,-126.19485700000003,-181.9474242203699
6.0,8.0,12.0,-196.5593079,-231.32081964033003
