size,n_default,n_online,reward_default,reward_online
4.0,4.0,7.0,-70.065,-97.36815600000001
4.0,2.0,4.0,-47.8,-70.894
4.0,6.0,4.0,-95.32074000000001,-65.649
4.0,3.0,3.0,-63.76,-60.61
4.0,3.0,3.0,-41.31,-42.66
4.0,5.0,3.0,-77.5446,-44.61
4.0,2.0,4.0,-50.9,-63.194
4.0,1.0,1.0,-59.0,-59.0
4.0,6.0,5.0,-76.34219,-75.8417
4.0,4.0,4.0,-47.489,-59.486000000000004
4.0,2.0,1.0,-59.9,-59.0
4.0,4.0,6.0,-68.43900000000001,-82.34679000000001
4.0,2.0,2.0,-66.4,-52.0
4.0,4.0,5.0,-82.318,-69.1951
4.0,1.0,2.0,-49.0,-58.0
4.0,6.0,5.0,-66.83119,-50.9551
4.0,5.0,5.0,-86.85600000000002,-64.9923
4.0,3.0,7.0,-61.56,-73.34387100000001
4.0,1.0,6.0,-41.0,-68.06219
4.0,3.0,4.0,-69.2,-66.28399999999999
4.0,2.0,2.0,-58.5,-58.5
4.0,7.0,8.0,-80.574531,-82.6449
4.0,4.0,2.0,-62.179,-56.5
4.0,4.0,4.0,-56.489,-60.188
4.0,1.0,1.0,-45.0,-45.0
