size,n_default,n_online,reward_default,reward_online
4.0,2.0,2.0,-51.0,-37.5
4.0,5.0,4.0,-81.48509999999999,-60.579
4.0,6.0,3.0,-85.33905000000001,-60.81
4.0,5.0,5.0,-85.15809999999999,-71.8741
4.0,1.0,7.0,-43.0,-90.51959500000001
4.0,1.0,2.0,-52.0,-57.4
4.0,3.0,6.0,-73.10000000000001,-83.30195
4.0,5.0,8.0,-62.235099999999996,-96.79247200000002
4.0,3.0,2.0,-57.010000000000005,-48.1
4.0,3.0,3.0,-57.510000000000005,-49.410000000000004
4.0,2.0,1.0,-59.9,-59.0
4.0,1.0,4.0,-51.0,-65.139
4.0,4.0,3.0,-78.05,-66.71
4.0,5.0,2.0,-72.3255,-52.8
4.0,5.0,5.0,-75.6729,-69.129
4.0,3.0,3.0,-67.81,-59.71
4.0,3.0,2.0,-59.949999999999996,-47.8
4.0,5.0,5.0,-82.6656,-71.8161
4.0,8.0,3.0,-116.25006590000004,-68.48
4.0,3.0,2.0,-63.910000000000004,-56.8
4.0,4.0,5.0,-47.629000000000005,-64.00720000000001
4.0,7.0,2.0,-99.86303099999999,-61.5
4.0,4.0,4.0,-63.568,-66.75399999999999
4.0,6.0,5.0,-85.09505000000001,-92.3972
4.0,9.0,7.0,-108.63132490000001,-88.3045
