size,n_default,n_online,reward_default,reward_online
8.0,13.0,1.0,-176.88994399444502,-45.0
8.0,5.0,4.0,-173.40019999999998,-158.363
8.0,14.0,9.0,-341.02284446913797,-274.2698758
8.0,12.0,4.0,-168.32627794304003,-82.43
8.0,13.0,14.0,-418.64205892639006,-390.0118412636456
8.0,6.0,8.0,-115.75659,-218.8725879
8.0,9.0,24.0,-257.04658892,-266.3360028270437
8.0,18.0,18.0,-300.9919677231596,-261.3483560094699
8.0,4.0,6.0,-129.408,-150.50769
8.0,10.0,12.0,-192.36959654900002,-221.9079150365901
8.0,4.0,12.0,-72.768,-234.45214574853006
8.0,8.0,10.0,-286.22155670000006,-313.4135294000001
8.0,8.0,5.0,-177.9594384,-149.9682
8.0,7.0,9.0,-142.209081,-306.65348577000003
8.0,6.0,9.0,-139.72393000000002,-122.31188776000002
8.0,22.0,10.0,-313.8078113467059,-162.09021251
8.0,9.0,9.0,-227.63145391,-346.53646789000004
8.0,11.0,7.0,-260.7149124195,-157.97407200000004
8.0,13.0,15.0,-271.095141920945,-316.08078733333934
8.0,16.0,11.0,-313.71665494828034,-307.0704618141001
8.0,7.0,16.0,-110.36840099999999,-306.9307668077695
8.0,13.0,13.0,-208.28410002197202,-184.30040139321704
8.0,14.0,9.0,-278.97785192404405,-211.58610575000003
