size,n_default,n_online,reward_default,reward_online
4.0,4.0,4.0,-60.858000000000004,-60.858000000000004
4.0,6.0,5.0,-74.65009,-74.5951
4.0,6.0,5.0,-76.90559,-99.40010000000001
4.0,3.0,1.0,-51.81,-42.0
4.0,3.0,7.0,-57.11,-80.893391
4.0,2.0,6.0,-58.3,-74.41045000000001
4.0,5.0,3.0,-69.6905,-58.31
4.0,2.0,3.0,-31.9,-33.61
4.0,3.0,3.0,-61.849999999999994,-61.849999999999994
4.0,2.0,3.0,-57.2,-42.71
4.0,8.0,9.0,-110.81843190000001,-92.55163671000001
4.0,2.0,1.0,-63.5,-59.0
4.0,3.0,3.0,-52.26,-49.019999999999996
4.0,6.0,5.0,-68.86765,-62.4691
4.0,5.0,3.0,-81.6477,-58.11
4.0,6.0,2.0,-82.21955000000001,-59.9
4.0,3.0,2.0,-72.67,-49.9
4.0,3.0,5.0,-57.010000000000005,-69.87910000000001
4.0,4.0,1.0,-64.595,-56.0
4.0,4.0,3.0,-50.899,-59.17
4.0,6.0,8.0,-95.91005,-82.0674317
4.0,1.0,1.0,-37.0,-37.0
4.0,1.0,2.0,-59.0,-59.9
4.0,2.0,4.0,-53.2,-79.76800000000001
4.0,7.0,3.0,-70.725091,-63.85
