size,n_default,n_online,reward_default,reward_online
4.0,3.0,3.0,-69.12,-63.45
4.0,5.0,3.0,-53.819500000000005,-49.9
4.0,1.0,6.0,-38.0,-58.78145000000001
4.0,4.0,5.0,-78.302,-71.0111
4.0,5.0,3.0,-73.61809999999998,-52.910000000000004
4.0,7.0,5.0,-81.89032600000002,-72.7741
4.0,7.0,7.0,-101.29884100000001,-103.38378100000001
4.0,2.0,3.0,-58.0,-58.81
4.0,8.0,4.0,-96.23667889999999,-74.963
4.0,7.0,4.0,-91.544111,-75.32900000000001
4.0,4.0,3.0,-59.939,-59.93
4.0,1.0,1.0,-49.0,-49.0
4.0,7.0,9.0,-95.68634100000001,-95.97372899999999
4.0,2.0,5.0,-58.3,-84.2767
4.0,2.0,3.0,-45.9,-48.419999999999995
4.0,2.0,2.0,-56.4,-55.5
4.0,6.0,1.0,-73.58659,-52.0
4.0,1.0,1.0,-46.0,-46.0
4.0,5.0,3.0,-86.5717,-59.379999999999995
4.0,5.0,3.0,-81.6623,-53.81
4.0,3.0,4.0,-58.9,-54.778
4.0,2.0,2.0,-57.4,-58.3
4.0,8.0,2.0,-82.3915789,-56.5
