size,n_default,n_online,reward_default,reward_online
4.0,4.0,4.0,-80.374,-69.844
4.0,4.0,3.0,-70.908,-55.95
4.0,2.0,5.0,-47.0,-68.9717
4.0,3.0,3.0,-58.910000000000004,-59.81
4.0,1.0,1.0,-36.0,-36.0
4.0,4.0,4.0,-54.65,-59.6
4.0,2.0,5.0,-47.9,-76.3472
4.0,4.0,3.0,-29.438999999999997,-34.11
4.0,6.0,3.0,-72.41459,-52.61
4.0,2.0,4.0,-57.2,-63.833
4.0,4.0,3.0,-51.913000000000004,-59.05
4.0,7.0,5.0,-114.27810600000002,-81.0912
4.0,2.0,2.0,-57.2,-42.8
4.0,4.0,5.0,-71.51299999999999,-75.8141
4.0,4.0,4.0,-86.169,-79.86
4.0,2.0,3.0,-57.4,-62.349999999999994
4.0,2.0,6.0,-56.8,-82.79209000000002
4.0,5.0,3.0,-51.8305,-37.21
4.0,4.0,3.0,-64.665,-56.61
4.0,2.0,2.0,-58.5,-57.6
4.0,7.0,4.0,-55.16549100000001,-40.014
4.0,2.0,5.0,-63.3,-78.7107
4.0,4.0,4.0,-71.708,-61.979
4.0,3.0,5.0,-57.010000000000005,-84.0307
4.0,5.0,3.0,-83.12100000000001,-56.31
