size,n_default,n_online,reward_default,reward_online
6.0,13.0,8.0,-214.14576468300007,-186.5132079
6.0,10.0,9.0,-253.35130147400002,-214.87460006000003
6.0,9.0,8.0,-196.98166371000005,-161.1313905
6.0,7.0,7.0,-149.34650100000002,-155.173731
6.0,1.0,1.0,-36.0,-36.0
6.0,11.0,5.0,-166.64737832320006,-121.045
6.0,5.0,5.0,-98.7421,-106.2031
6.0,3.0,3.0,-51.26,-53.150000000000006
6.0,14.0,6.0,-230.732837092345,-138.40554
6.0,9.0,6.0,-119.47100155000003,-108.97864
6.0,2.0,10.0,-48.9,-124.80050064900001
6.0,3.0,5.0,-122.65,-119.545
6.0,12.0,10.0,-209.19017219659005,-214.080522055
6.0,11.0,6.0,-237.97725634,-99.68599
6.0,7.0,5.0,-133.99566500000003,-146.04500000000002
6.0,7.0,8.0,-207.622935,-255.44985480000003
6.0,9.0,9.0,-215.62435000000002,-193.56501061000003
6.0,11.0,12.0,-205.53201647,-175.55244029900004
6.0,1.0,6.0,-57.0,-106.41765
6.0,9.0,7.0,-184.28544016,-211.79774500000008
6.0,2.0,5.0,-62.9,-93.4775
6.0,6.0,5.0,-130.01565000000002,-141.9402
6.0,3.0,8.0,-83.21000000000001,-148.1716724
6.0,8.0,11.0,-115.4542379,-140.8942232555
6.0,8.0,5.0,-115.04632790000001,-115.66100000000002
