size,n_default,n_online,reward_default,reward_online
8.0,8.0,9.0,-269.7426088,-344.4502416100001
8.0,23.0,12.0,-340.38701946089117,-168.81026710589998
8.0,8.0,9.0,-150.66705700000003,-117.23192632000001
8.0,7.0,10.0,-82.18342100000002,-148.38940974800005
8.0,11.0,18.0,-320.84454522550004,-439.933584403091
8.0,15.0,5.0,-345.965487292297,-126.43020000000003
8.0,7.0,13.0,-296.299366,-474.51109330634216
8.0,8.0,6.0,-282.55007120000005,-139.03718
8.0,4.0,12.0,-124.829,-412.0024903286301
8.0,18.0,4.0,-347.17279889732635,-121.05900000000001
8.0,5.0,6.0,-169.1873,-168.55109
8.0,3.0,7.0,-83.17,-114.20487100000001
8.0,5.0,6.0,-115.12950000000001,-141.64854000000003
8.0,10.0,9.0,-424.1810368800001,-356.31540261000004
8.0,11.0,8.0,-280.8469877320001,-149.5994599
8.0,8.0,6.0,-152.72956630000002,-133.18417
8.0,20.0,11.0,-184.0283639696068,-214.94238724810006
8.0,14.0,7.0,-471.020429820483,-236.56418000000002
8.0,4.0,3.0,-112.955,-100.22
8.0,9.0,9.0,-150.17619803000002,-352.07852621000006
8.0,5.0,11.0,-127.71520000000001,-144.41444822949998
8.0,9.0,40.0,-307.01583562,-271.20743137787974
8.0,6.0,11.0,-206.93466999999998,-434.3351547421001
8.0,18.0,25.0,-331.62573652914773,-331.47414366964284
