size,n_default,n_online,reward_default,reward_online
8.0,14.0,12.0,-418.11856015432585,-469.68974194851006
8.0,11.0,8.0,-315.53499227400005,-227.90330550000002
8.0,4.0,13.0,-87.273,-283.64843443905
8.0,7.0,2.0,-131.525231,-86.0
8.0,3.0,4.0,-103.36,-112.765
8.0,7.0,7.0,-144.746576,-99.63403100000001
8.0,7.0,10.0,-145.114777,-293.289063094
8.0,12.0,12.0,-481.31148351160004,-423.35782731055014
8.0,11.0,12.0,-376.2278194976,-456.34640524009995
8.0,11.0,9.0,-367.3311244005,-354.10262646000007
8.0,9.0,15.0,-215.82514675000004,-309.38542576010116
8.0,10.0,11.0,-470.0331278090001,-455.91126362450007
8.0,20.0,9.0,-447.7520245553292,-362.3884282600001
8.0,23.0,3.0,-231.12267075193515,-60.31
8.0,9.0,13.0,-229.71997066,-471.6338102338001
8.0,12.0,11.0,-521.37258692547,-481.04641808310015
8.0,14.0,11.0,-303.32730600284344,-274.09171489950006
8.0,20.0,8.0,-517.6785026798054,-271.279083
8.0,8.0,5.0,-110.02391650000001,-137.51110000000003
8.0,9.0,12.0,-151.70556411,-373.2884204530501
8.0,15.0,8.0,-305.63070286305657,-197.7944569
8.0,8.0,8.0,-214.52036080000005,-180.85173790000002
8.0,9.0,8.0,-304.024323,-224.242464
