size,n_default,n_online,reward_default,reward_online
6.0,4.0,6.0,-102.895,-102.20479
6.0,5.0,1.0,-95.9941,-64.0
6.0,4.0,6.0,-135.479,-139.95703999999998
6.0,7.0,7.0,-191.80950300000003,-116.78403600000001
6.0,5.0,6.0,-109.3872,-155.98344
6.0,4.0,7.0,-146.105,-208.81400299999999
6.0,8.0,10.0,-218.61387150000002,-290.624372889
6.0,11.0,7.0,-254.4455280891,-202.099521
6.0,7.0,6.0,-126.871686,-90.306
6.0,5.0,5.0,-157.33100000000002,-124.62950000000001
6.0,9.0,10.0,-183.89163092,-217.602357359
6.0,7.0,7.0,-142.25668100000001,-138.142412
6.0,2.0,4.0,-85.7,-108.038
6.0,4.0,4.0,-82.66799999999999,-72.039
6.0,6.0,6.0,-109.44968,-87.19754000000002
6.0,1.0,4.0,-40.0,-46.084
6.0,14.0,8.0,-166.2381660117749,-167.0187038
6.0,3.0,4.0,-73.17,-93.969
6.0,9.0,7.0,-232.34737306,-235.324273
6.0,13.0,5.0,-103.02676025054,-100.6106
6.0,4.0,6.0,-117.25900000000001,-119.18149000000001
6.0,13.0,4.0,-129.38577717319004,-64.87
