size,n_default,n_online,reward_default,reward_online
4.0,2.0,2.0,-58.9,-58.9
4.0,5.0,2.0,-64.47409999999999,-58.4
4.0,5.0,3.0,-73.6133,-43.61
4.0,4.0,4.0,-60.673,-73.444
4.0,5.0,5.0,-69.1841,-61.6061
4.0,3.0,1.0,-55.349999999999994,-27.0
4.0,8.0,4.0,-114.0588355,-63.355
4.0,3.0,5.0,-39.71,-55.1495
4.0,5.0,3.0,-59.6695,-55.66
4.0,3.0,4.0,-56.5,-78.145
4.0,5.0,3.0,-96.6167,-54.71
4.0,5.0,5.0,-75.7172,-62.6672
4.0,3.0,5.0,-59.55,-68.703
4.0,5.0,4.0,-98.0061,-61.215
4.0,3.0,3.0,-33.81,-34.71
4.0,2.0,1.0,-56.0,-47.0
4.0,2.0,2.0,-57.6,-58.5
4.0,2.0,3.0,-59.9,-65.57
4.0,5.0,2.0,-58.84510000000001,-53.5
4.0,5.0,4.0,-51.520500000000006,-58.005
4.0,2.0,3.0,-57.4,-61.45
4.0,5.0,4.0,-70.66409999999999,-52.584
