size,n_default,n_online,reward_default,reward_online
8.0,6.0,6.0,-105.08208,-120.14609999999999
8.0,6.0,5.0,-177.41009000000003,-192.66680000000002
8.0,11.0,13.0,-290.2926204231001,-238.70490298759506
8.0,10.0,18.0,-250.10895305899996,-398.7942875402494
8.0,5.0,10.0,-124.8041,-349.5926624240001
