size,n_default,n_online,reward_default,reward_online
6.0,6.0,3.0,-132.24303999999998,-112.78
6.0,8.0,9.0,-151.68353290000002,-158.62164055
6.0,3.0,7.0,-48.28,-123.88553500000002
6.0,8.0,7.0,-137.6611458,-124.87650000000001
6.0,8.0,6.0,-193.46808500000003,-172.93985
6.0,7.0,9.0,-129.059272,-136.74865411000002
6.0,4.0,3.0,-77.24000000000001,-77.96000000000001
6.0,3.0,3.0,-68.78,-46.55
6.0,7.0,6.0,-117.448461,-94.6971
6.0,9.0,10.0,-251.51889730000002,-315.9291986140001
6.0,9.0,7.0,-237.00226845,-199.004151
6.0,7.0,7.0,-193.565021,-223.019042
6.0,7.0,8.0,-171.870878,-182.30158100000003
6.0,6.0,8.0,-154.24873,-155.946895
6.0,8.0,16.0,-99.77780650000001,-217.65220900702107
6.0,5.0,6.0,-145.7581,-153.75171999999998
6.0,10.0,8.0,-198.19339779000006,-148.00961100000004
6.0,9.0,12.0,-187.28741392000003,-232.46860341850004
6.0,10.0,5.0,-235.60496182800006,-147.4812
6.0,7.0,7.0,-139.461891,-118.399641
6.0,7.0,6.0,-172.854041,-226.82686999999999
6.0,4.0,11.0,-89.513,-220.86180760850004
6.0,7.0,4.0,-136.434081,-86.08800000000001
