size,n_default,n_online,reward_default,reward_online
4.0,5.0,6.0,-71.4752,-87.695
4.0,4.0,6.0,-75.357,-83.88405
4.0,4.0,5.0,-68.674,-89.22280000000002
4.0,6.0,4.0,-56.020689999999995,-54.928
4.0,6.0,4.0,-69.39849000000001,-86.547
4.0,5.0,6.0,-53.335100000000004,-86.20499
4.0,8.0,5.0,-86.27725800000002,-71.9352
4.0,6.0,5.0,-85.84548,-84.9723
4.0,2.0,1.0,-63.0,-54.0
4.0,3.0,6.0,-65.81,-94.13669
4.0,5.0,2.0,-81.05560000000001,-52.9
4.0,1.0,5.0,-48.0,-68.7
4.0,4.0,2.0,-73.2,-53.4
4.0,5.0,4.0,-84.3111,-72.18900000000001
4.0,8.0,4.0,-106.98109880000001,-64.139
4.0,2.0,1.0,-63.5,-59.0
4.0,5.0,3.0,-73.46909999999998,-60.510000000000005
4.0,7.0,8.0,-104.19390999999999,-119.34796779999999
4.0,5.0,4.0,-74.8531,-57.43899999999999
4.0,3.0,5.0,-64.80000000000001,-71.64270000000002
4.0,2.0,2.0,-57.4,-58.3
4.0,2.0,1.0,-59.9,-59.0
4.0,7.0,4.0,-84.887541,-68.958
4.0,1.0,2.0,-35.0,-39.5
4.0,2.0,4.0,-48.8,-62.849
