size,n_default,n_online,reward_default,reward_online
6.0,7.0,3.0,-125.86913500000001,-87.07
6.0,11.0,4.0,-242.3484818782,-141.424
6.0,9.0,9.0,-220.46214861000004,-201.89910330000004
6.0,7.0,12.0,-184.940382,-205.59189427689003
6.0,5.0,4.0,-53.9595,-67.45500000000001
6.0,6.0,3.0,-172.95454000000004,-119.35
6.0,17.0,5.0,-135.39941092107324,-95.3218
6.0,7.0,10.0,-153.75193199999998,-217.57914522000002
6.0,13.0,11.0,-220.21806503019207,-191.0550506891
6.0,13.0,1.0,-281.3578019052411,-65.0
6.0,6.0,9.0,-124.41498000000001,-126.77962911000002
6.0,6.0,11.0,-134.69829,-186.43966853010002
6.0,11.0,5.0,-310.428960955,-158.0857
6.0,7.0,10.0,-149.75059100000004,-162.68353115000002
6.0,5.0,7.0,-104.9911,-175.36838200000005
6.0,5.0,4.0,-110.3805,-96.399
6.0,8.0,8.0,-141.7837879,-153.0758179
6.0,7.0,5.0,-181.04738700000001,-135.48180000000002
6.0,9.0,9.0,-226.46077780000002,-226.38871480000003
6.0,9.0,5.0,-172.99398988000002,-69.71950000000001
6.0,3.0,3.0,-73.41,-73.41
6.0,11.0,9.0,-212.68043590000002,-201.79813072000002
